time,C,D,E,I,S,T
0.545599999999999, 3175.0738758, 16.6569122, 0.3658000, 966.6510534, 5399.6786261, 41.5809948
0.548699999999999, 3185.2249984, 16.8573641, 0.3678667, 971.0180499, 5385.0756542, 41.4737874
0.551799999999999, 3195.2787508, 17.0587153, 0.3699333, 975.3646451, 5370.5899005, 41.3660723
0.554899999999999, 3205.2359948, 17.2609617, 0.3720000, 979.6909847, 5356.2203252, 41.2578895
0.557999999999999, 3215.0975849, 17.4640990, 0.3740667, 983.9972128, 5341.9658985, 41.1492773
0.561099999999999, 3224.8643678, 17.6681233, 0.3761333, 988.2834725, 5327.8256012, 41.0402728
0.564199999999999, 3234.5371827, 17.8730302, 0.3782000, 992.5499056, 5313.7984239, 40.9309116
0.567299999999999, 3244.1168613, 18.0788159, 0.3802667, 996.7966528, 5299.8833670, 40.8212279
0.570399999999999, 3253.6042281, 18.2854761, 0.3823333, 1001.0238535, 5286.0794411, 40.7112546
0.573499999999999, 3263.0001000, 18.4930070, 0.3844000, 1005.2316459, 5272.3856661, 40.6010234
0.576599999999999, 3272.3052869, 18.7014045, 0.3864667, 1009.4201669, 5258.8010716, 40.4905649
0.579699999999999, 3281.5205913, 18.9106647, 0.3885333, 1013.5895527, 5245.3246967, 40.3799083
0.582799999999999, 3290.6468088, 19.1207835, 0.3906000, 1017.7399377, 5231.9555896, 40.2690817
0.585899999999999, 3299.6847277, 19.3317572, 0.3926667, 1021.8714557, 5218.6928078, 40.1581124
0.588999999999999, 3308.6351297, 19.5435819, 0.3947333, 1025.9842391, 5205.5354181, 40.0470262
0.592099999999999, 3317.4987891, 19.7562536, 0.3968000, 1030.0784193, 5192.4824959, 39.9358481
0.595199999999999, 3326.2764737, 19.9697686, 0.3988667, 1034.1541264, 5179.5331257, 39.8246023
0.598299999999999, 3334.9689444, 20.1841230, 0.4009333, 1038.2114896, 5166.6864008, 39.7133117
0.601399999999999, 3343.5769554, 20.3993132, 0.4030000, 1042.2506370, 5153.9414229, 39.6019986
0.604499999999999, 3352.1012541, 20.6153353, 0.4050667, 1046.2716954, 5141.2973027, 39.4906841
0.607599999999999, 3360.5425815, 20.8321856, 0.4071333, 1050.2747908, 5128.7531588, 39.3793887
0.610699999999999, 3368.9016719, 21.0498605, 0.4092000, 1054.2600480, 5116.3081186, 39.2681319
0.613799999999999, 3377.1792531, 21.2683563, 0.4112667, 1058.2275907, 5103.9613175, 39.1569326
0.616899999999999, 3385.3760467, 21.4876692, 0.4133333, 1062.1775418, 5091.7118992, 39.0458088
0.619999999999999, 3393.4927677, 21.7077958, 0.4154000, 1066.1100229, 5079.5590154, 38.9347777
0.623099999999999, 3401.5301248, 21.9287324, 0.4174667, 1070.0251547, 5067.5018257, 38.8238560
0.626199999999999, 3409.4888207, 22.1504755, 0.4195333, 1073.9230570, 5055.5394978, 38.7130594
0.629299999999999, 3417.3695516, 22.3730215, 0.4216000, 1077.8038482, 5043.6712070, 38.6024032
0.632399999999999, 3425.1730077, 22.5963668, 0.4236667, 1081.6676463, 5031.8961364, 38.4919020
0.635499999999999, 3432.8998732, 22.8205081, 0.4257333, 1085.5145677, 5020.2134766, 38.3815696
0.638599999999999, 3440.5508261, 23.0454418, 0.4278000, 1089.3447284, 5008.6224259, 38.2714196
0.641699999999999, 3448.1265386, 23.2711645, 0.4298667, 1093.1582429, 4997.1221899, 38.1614646
0.644799999999999, 3455.6276769, 23.4976727, 0.4319333, 1096.9552252, 4985.7119817, 38.0517168
0.647899999999999, 3463.0549012, 23.7249631, 0.4340000, 1100.7357881, 4974.3910215, 37.9421880
0.650999999999999, 3470.4088662, 23.9530323, 0.4360667, 1104.5000435, 4963.1585369, 37.8328892
0.654099999999999, 3477.6902207, 24.1818769, 0.4381333, 1108.2481023, 4952.0137626, 37.7238313
0.657199999999999, 3484.8996076, 24.4114936, 0.4402000, 1111.9800747, 4940.9559402, 37.6150243
