,C,D,I,S,T
2.32999999999999, 350330.7203375, 19.5345354, 101.1554601, 24678.0946980, 5640.8268996
2.33999999999999, 350702.8012593, 19.7098526, 101.1403226, 24215.8981121, 5613.8817533
2.34999999999999, 351065.6043055, 19.8851396, 101.1221770, 23762.5135189, 5587.2842544
2.35999999999999, 351419.3071067, 20.0603914, 101.1010865, 23317.7744514, 5561.0262083
2.36999999999999, 351764.0839360, 20.2356028, 101.0771130, 22881.5174583, 5535.0997069
2.37999999999999, 352100.1057696, 20.4107689, 101.0503173, 22453.5820552, 5509.4971166
2.38999999999999, 352427.5403470, 20.5858851, 101.0207589, 22033.8106784, 5484.2110660
2.39999999999999, 352746.5522296, 20.7609464, 100.9884963, 21622.0486372, 5459.2344352
2.40999999999999, 353057.3028594, 20.9359484, 100.9535869, 21218.1440677, 5434.5603452
2.41999999999999, 353359.9506153, 21.1108865, 100.9160867, 20821.9478869, 5410.1821478
2.42999999999999, 353654.6508702, 21.2857563, 100.8760511, 20433.3137466, 5386.0934160
2.43999999999999, 353941.5560454, 21.4605535, 100.8335341, 20052.0979888, 5362.2879347
2.44999999999999, 354220.8156653, 21.6352738, 100.7885887, 19678.1596005, 5338.7596921
2.45999999999999, 354492.5764109, 21.8099130, 100.7412670, 19311.3601699, 5315.5028714
2.46999999999999, 354756.9821721, 21.9844673, 100.6916200, 18951.5638425, 5292.5118427
2.47999999999999, 355014.1740997, 22.1589325, 100.6396978, 18598.6372780, 5269.7811558
2.48999999999999, 355264.2906554, 22.3333048, 100.5855494, 18252.4496075, 5247.3055323
2.49999999999999, 355507.4676628, 22.5075804, 100.5292230, 17912.8723915, 5225.0798593
2.50999999999999, 355743.8383554, 22.6817556, 100.4707659, 17579.7795781, 5203.0991825
2.51999999999999, 355973.5334255, 22.8558267, 100.4102243, 17253.0474623, 5181.3587002
2.52999999999999, 356196.6810711, 23.0297902, 100.3476436, 16932.5546447, 5159.8537568
2.53999999999999, 356413.4070428, 23.2036427, 100.2830684, 16618.1819922, 5138.5798375
2.54999999999999, 356623.8346894, 23.3773807, 100.2165424, 16309.8125983, 5117.5325626
2.55999999999999, 356828.0850026, 23.5510009, 100.1481083, 16007.3317439, 5096.7076824
2.56999999999999, 357026.2766616, 23.7245000, 100.0778082, 15710.6268592, 5076.1010719
2.57999999999999, 357218.5260761, 23.8978749, 100.0056833, 15419.5874857, 5055.7087265
2.58999999999999, 357404.9474291, 24.0711225, 99.9317739, 15134.1052391, 5035.5267570
2.59999999999999, 357585.6527186, 24.2442397, 99.8561197, 14854.0737722, 5015.5513852
2.60999999999999, 357760.7517989, 24.4172235, 99.7787596, 14579.3887388, 4995.7789401
2.61999999999999, 357930.3524206, 24.5900710, 99.6997315, 14309.9477583, 4976.2058536
2.62999999999999, 358094.5602709, 24.7627794, 99.6190729, 14045.6503801, 4956.8286567
2.63999999999999, 358253.4790117, 24.9353460, 99.5368203, 13786.3980491, 4937.6439759
2.64999999999999, 358407.2103186, 25.1077679, 99.4530098, 13532.0940720, 4918.6485296
2.65999999999999, 358555.8539179, 25.2800426, 99.3676764, 13282.6435831, 4899.8391249
2.66999999999999, 358699.5076239, 25.4521674, 99.2808548, 13037.9535119, 4881.2126541
2.67999999999999, 358838.2673748, 25.6241399, 99.1925788, 12797.9325499, 4862.7660921
2.68999999999999, 358972.2272683, 25.7959574, 99.1028816, 12562.4911193, 4844.4964928
2.69999999999999, 359101.4795965, 25.9676177, 99.0117957, 12331.5413410, 4826.4009869
2.70999999999999, 359226.1148805, 26.1391184, 98.9193531, 12104.9970039, 4808.4767788
2.71999999999999, 359346.2219034, 26.3104570, 98.8255851, 11882.7735343, 4790.7211440
2.72999999999999, 359461.8877438, 26.4816315, 98.7305223, 11664.7879659, 4773.1314270
2.73999999999999, 359573.1978081, 26.6526395, 98.6341948, 11450.9589103, 4755.7050385
